num	app_num	제목	출원인	IPC	CPC
1	10-2021-7040184	영상 디코딩 방법 및 그 장치(IMAGE DECODING METHOD AND DEVICE THEREFOR)	LGE	H04N	G05B2219/35014
2	10-2021-7040182	크로마 양자화 파라미터 데이터 기반 영상 디코딩 방법 및 그 장치(IMAGE DECODING METHOD BASED ON CHROMA QUANTIZATION PARAMETER DATA, AND APPARATUS THEREFOR)	LGE	H04N	G03C11/22
3	10-2020-0061630	로터리 압축기(ROTARY COMPRESSOR)	LGE	F04C	F04C18/356
4	10-2021-7040371	영상 디코딩 방법 및 이를 이용하는 장치(IMAGE DECODING METHOD AND APPARATUS USING SAME)	LGE	H04N	G05B2219/35014
5	10-2021-0158949	사용자 인터페이스 표시 방법 및 장치(METHOD AND APPARATUS FOR DISPLAYING USER INTERFACE)	SSE	G06F	G06F3/048
6	10-2020-0056057	무선 통신 시스템에서 신호를 수신하기 위한 장치 및 방법(APPARATUS AND METHOD FOR RECEIVING SIGNAL IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	H04L1/0054
7	10-2021-7035796	표시 장치 및 휴대 전화기(DISPLAY DEVICE AND MOBILE PHONE)	SEL	G09G	H01L2224/17104
8	10-2021-7038284	이모지 레코딩 및 전송(EMOJI RECORDING AND SENDING)	APPLE	G06T	G06T2207/30201
9	10-2021-7037924	프롬프트 정보 처리 장치 및 방법(APPARATUS AND METHOD FOR PROCESSING PROMPT INFORMATION)	SSE	G06Q	G06F17/30265
10	10-2021-7035224	장치에 대한 다중 사용자 인증(MULTI-USER AUTHENTICATION ON A DEVICE)	GOOGLE	G10L	G10L15/08
11	10-2021-7037702	IMU 및 레이더를 통한 인증 관리(AUTHENTICATION MANAGEMENT THROUGH IMU AND RADAR)	GOOGLE	G06F	G06F21/32
12	10-2021-7036032	제품 소스 링크가 있는 미디어 주석(MEDIA ANNOTATION WITH PRODUCT SOURCE LINKING)	GOOGLE	G06K	H04Q2213/13531
13	10-2021-7031802	고객 지원 채팅 세션 찾기(DISCOVERING CUSTOMER SUPPORT CHAT SESSIONS)	GOOGLE	G06Q	H04Q2213/13149
14	10-2021-7023852	통신 네트워크 측정치의 데이터 조작 방지 및 사용자 프라이버시 보호(PREVENTING DATA MANIPULATION AND PROTECTING USER PRIVACY IN TELECOMMUNICATION NETWORK MEASUREMENTS)	GOOGLE	H04L	H04L63/123
15	10-2021-0144314	표시 기판 및 표시 기판의 리페어 방법(DISPLAY SUBSTRATE, REPAIR METHOD OF DISPLAY SUBSTRATE)	SSD	G02F	G02F1/136259
16	10-2021-0173030	외부의 IoT 장치를 관리 및 제어하는 방법 및 이를 지원하는 전자 장치(Method for Managing the External IoT Device and the Electronic Device supporting the same)	SSE	H04L	H04N1/00217
17	10-2021-0168430	발광 소자(LIGHT-EMITTING ELEMENT)	SEL	H01L	H01L2251/5376
18	10-2021-0147160	무선 통신 시스템에서 음성 데이터를 송신 및 수신하기 위한 장치 및 방법(APPRATUS AND METHOD FOR TRANSMITTING AND RECEIVING VOICE DATA IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	Y02P10/25
19	10-2021-0145970	데이터 공유 전자 장치 및 제어 방법(DATA SHARING APPARATUS AND CONTROL METHOD THEREOF)	SSE	H04L	G10D13/024
20	10-2021-0138850	헤드 마운트 디스플레이 장치(Head mounted display apparatus)	SSD	G02B	G02B27/0172
21	10-2021-7040161	그래픽 메시징 사용자 인터페이스 내의 확인응답 옵션들의 적용(APPLYING ACKNOWLEDGEMENT OF OPTIONS IN A GRAPHICAL MESSAGING USER INTERFACE)	APPLE	G06F	G05B2219/36349
22	10-2021-0004454	에지 SSD 장치, 에지 데이터 시스템 및 컴퓨터 구현 방법(EDGE SOLID STATE DRIVE(SSD) DEVICE, EDGE DATA SYSTEM, AND COMPUTER-IMPLEMENTED METHOD)	SSE	H04L	G05B2219/23185
23	10-2021-0003870	데이터 저장 장치, 및 패브릭-부착 저장 장치를 가상화를 위한 시스템 및 방법(DATA STORAGE DEVICES, SYSTEMS, AND METHODS FOR VIRTUALIZING FABRIC-ATTACHED STORAGE DEVICES)	SSE	G06F	G10H2210/291
24	10-2021-0061862	무선 통신 시스템에서 AI 기반 비활성화 타이머 결정 방법 및 장치(METHOD AND APPARATUS FOR DETERMINING AI-BASED INACTIVITY TIMER IN A WIRELESS COMMUNICATION SYSTEM)	SSE	H04W	H04L67/145
25	10-2021-0045652	전자 장치 및 전자 장치에서 키보드의 입력을 이용하여 사용자 인증을 수행하는 방법(ELECTRONIC DEVICE, AND METHOD FOR PERFORMING USER AUTHENTICATION USING INPUT OF KEYBOARD IN ELECTRONIC DEVICE)	SSE	G06F	G11B20/10518
26	10-2021-0150521	무선 통신 시스템에서 어플리케이션 실행 방법 및 장치(METHOD AND APPARATUS FOR LAUNCHING APPLICATION IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	H04L61/1558
27	10-2021-0079281	스토리지 섀시 내 통신을 위한 시스템 및 방법(SYSTEMS AND METHODS FOR COMMUNICATIONS WITHIN A STORAGE CHASSIS)	SSE	G06F	A23V2250/13
28	10-2021-0074731	최종 사용자 디바이스 애셋의 제3자 액세스(THIRD-PARTY ACCESS OF END-USER DEVICE ASSETS)	APPLE	G06F	G03C1/93
29	10-2020-0102094	무선 통신 시스템에서 NAS 메시지를 이용한 데이터 보안 방법 및 장치(METHOD AND APPARATUS FOR PROTECTING DATA USING NAS MESSAGE IN WIRELESS COMMUNICATION SYSTEM)	SSE	H04L	C07C2/16
30	10-2021-0067621	이미지들의 스마트 크로핑(SMART CROPPING OF IMAGES)	APPLE	G06T	C10J3/86
31	10-2021-7038777	메시징 APPLE리케이션 내의 옵션들 표시, 알림 할당, 메시지들 무시, 및 동시 사용자 인터페이스 표시(DISPLAYING OPTIONS, ASSIGNING NOTIFICATION, IGNORING MESSAGES, AND SIMULTANEOUS USER INTERFACE DISPLAYS IN A MESSAGING APPLICATION)	APPLE	G06F	C10M2229/043
32	10-2021-7034155	반도체 장치 및 그 제조 방법(SEMICONDUCTOR DEVICE AND MANUFACTURING METHOD THEREOF)	SEL	G11C	F15B2211/85
33	10-2021-7035417	피어 투 피어 전송들을 위한 사용자 인터페이스들(USER INTERFACES FOR PEER-TO-PEER TRANSFERS)	APPLE	H04L	H01H2217/024
34	10-2021-7036869	아이템을 추적하고 찾기 위한 사용자 인터페이스(USER INTERFACES FOR TRACKING AND FINDING ITEMS)	APPLE	G06K	H04M1/72572
35	10-2021-7032107	선택적 중계를 이용하여 프로토콜 데이터 유닛을 구성하기 위한 시스템 및 방법(SYSTEM AND METHOD FOR CONSTRUCTION OF A PROTOCOL DATA UNIT USING SELECTIVE RELAY)	QLC	H04L	C12Y204/01051
36	10-2021-0144925	복합 음극 활물질, 상기 복합 음극 활물질을 포함하는 음극 및 상기 음극을 포함하는 리튬 이차전지(Composite anode active material, anode including the composite anode active material, and lithium secondary battery including the anode)	SSE	H01M	A23K1/1653
37	10-2020-0121722	외부 전자 장치의 위치를 확인하는 전자 장치와 이의 동작 방법(ELECTRONIC DEVICE FOR IDENTIFYING LOCATION OF AN EXTERNAL ELECTRONIC DEVICE AND METHOD OF OPERATING THE SAME)	SSE	G01V	C12Y304/22057
38	10-2020-0076694	전자 장치(ELECTRONIC DEVICE)	SSE	H01H	H04M1/0277
39	10-2020-0076544	디스플레이 디바이스(DISPLAY DEVICE)	LGE	G09F	H04B1/72
40	10-2021-7026137	안경형 전자 기기(GLASSES-TYPE ELECTRONIC DEVICE)	SEL	G02B	Y10S224/9012
41	10-2021-7025859	3D 아바타를 이용한 의류 피팅 서비스 제공 방법과 그에 따른 시스템(METHOD FOR PROVIDING CLOTHING FITTING SERVICE BY USING 3D AVATAR, AND SYSTEM THEREFOR)	LGE	G06Q	G06T17/00
42	10-2020-0076720	표시 장치(DISPLAY DEVICE)	SSD	H01L	A63F2009/2445
43	10-2020-0070640	디스플레이장치 및 그 제어방법(DISPLAY APPARATUS AND CONTROL METHOD THEREOF)	SSE	G06F	H04N21/4532
44	10-2020-0062594	에지 컴퓨팅 서비스를 수행하는 전자 장치 및 전자 장치의 동작 방법(ELECTRONIC DEVICE FOR PERFORMING EDGE COMPUTING SERVICE AND A METHOD FOR THE SAME)	SSE	H04L	H04L29/12764
45	10-2020-0059154	지문 센서, 그의 제조 방법, 및 그를 포함한 표시 장치(FINGERPRINT SENSOR, METHOD FOR MANUFACUTRING THE SAME, AND DISPLAY DEVICE INCLLUDING THE SAME)	SSD	G06K	G06K9/00006
46	10-2020-0057724	공기청정기(Aircleaner)	LGE	F24F	B41L23/20
47	10-2020-0056915	모터 및 이를 포함하는 압축기(MOTOR AND COMPRESSOR INCLUDING THEREOF)	LGE	H02K	F04B35/045
48	10-2020-0071532	그룹 호 발언권 제어를 위한 방법 및 이를 위한 전자 장치(METHOD FOR CONTROLLING FLOOR IN GROUP CALL AND ELECTRONIC DEVICE THEREFOR)	SSE	H04L	H04L29/08324
49	10-2021-0173837	액정 표시 장치(LIQUID CRYSTAL DISPLAY DEVICE)	SSD	G02F	G02F2001/134318
50	10-2020-0058812	지문 센서, 그의 제조 방법, 및 그를 포함한 표시 장치(FINGERPRINT SENSOR, METHOD FOR MANUFACTURING THE SAME, AND DISPLAY DEVICE INCLUDING THE SAME)	SSD	G06K	G06K9/00006
51	10-2021-0079209	낮은 공간 지터, 낮은 레이턴시 및 저전력 사용을 갖는 객체 및 키포인트 검출 시스템(OBJECT AND KEYPOINT DETECTION SYSTEM WITH LOW SPATIAL JITTER, LOW LATENCY AND LOW POWER USAGE)	APPLE	G06K	B65D2577/2083
52	10-2021-0065587	캐시 일관성 상호 연결을 갖는 메모리(MEMORY WITH CACHE-COHERENT INTERCONNECT)	SSE	G06F	G06F11/1489
53	10-2021-0061537	복수의 상태들을 갖는 디스플레이를 포함하는 전자 장치 및 그 제어 벙법(An electronic device including a display having multiple states)	SSE	G06F	G01R31/307
54	10-2021-0054617	단말 앱 상태를 이용한 동적 EAS 생성 및 제거 방법 및 장치(APPARATUS AND METHOD FOR DYNAMIC INSTANTIATION OF EAS USING UE APPLICATION STATUS)	SSE	H04L	H03J5/0218
