cpc	description	4char	3char
H04L7/033	. . using the transitions of the received signal to control the phase of the synchronising-signal-generating means, e.g. using a phase-locked loop	H04L	H04
H04W76/15	. . Setup of multiple wireless link connections	H04W	H04
H04W76/19	. . Connection re-establishment	H04W	H04
H04W48/12	. . using downlink control channel	H04W	H04
H04W48/10	. . using broadcasted information	H04W	H04
H01L27/32	. . with components specially adapted for light emission, e.g. flat-panel displays using organic light-emitting diodes [OLED] {(combination of organic light sensitive components with organic light emitting components, e.g. optocoupler H01L27/288)}	H01L	H01
H05K2201/05	. Flexible printed circuits [FPCs]	H05K	H05
H04Q9/00	Arrangements in telecontrol or telemetry systems for selectively calling a substation from a main station, in which substation desired apparatus is selected for applying a control signal thereto or for obtaining measured values therefrom	H04Q	H04
H01L51/00	Solid state devices using organic materials as the active part, or using a combination of organic materials with other materials as the active part; Processes or apparatus specially adapted for the manufacture or treatment of such devices, or of parts thereof (devices consisting of a plurality of components formed in or on a common substrate H01L27/28; thermoelectric devices using organic material H01L35/00, H01L37/00; piezoelectric, electrostrictive or magnetostrictive elements using organic material H01L41/00)	H01L	H01
H02S40/40	. Thermal components (H02S10/30 takes precedence)	H02S	H02
H02S40/38	. . Energy storage means, e.g. batteries, structurally associated with PV modules	H02S	H02
H01L51/56	. . Processes or apparatus specially adapted for the manufacture or treatment of such devices or of parts thereof	H01L	H01
H04N19/82	. . involving filtering within a prediction loop	H04N	H04
H04N19/86	. . involving reduction of coding artifacts, e.g. of blockiness	H04N	H04
H02J50/60	. responsive to the presence of foreign objects, e.g. detection of living beings	H02J	H02
H02J50/20	. using microwaves or radio frequency waves	H02J	H02
H04W4/12	. Messaging; Mailboxes; Announcements	H04W	H04
H04W74/04	. Scheduled {or contention-free} access (H04W74/02 takes precedence)	H04W	H04
H01B5/14	. comprising conductive layers or films on insulating-supports	H01B	H01
H02B13/025	. . Safety arrangements, e.g. in case of excessive pressure or fire due to electrical defect (for buildings in general E04B 1/94; devices for opening or closing safety wings E05F 1/00; emergency protective circuit arrangements for distribution gear, e.g. bus-bar systems, or for switching devices H02H7/22)	H02B	H02
H04W74/06	. . using polling	H04W	H04
H01H2231/012	. Household appliance	H01H	H01
H01L21/68	. . for positioning, orientation or alignment	H01L	H01
H01L33/36	. characterised by the electrodes	H01L	H01
H01L33/20	. . with a particular shape, e.g. curved or truncated substrate	H01L	H01
H01L2251/30	. Materials	H01L	H01
H01L35/32	. . characterised by the structure or configuration of the cell or thermocouple forming the device {including details about housing, insulation, geometry or module}	H01L	H01
H01L35/30	. . characterised by the heat-exchanging means at the junction	H01L	H01
H01L35/02	. Details	H01L	H01
H01L33/08	. . with a plurality of light emitting regions, e.g. laterally discontinuous light emitting layer or photoluminescent region integrated within the semiconductor body (H01L27/15 takes precedence)	H01L	H01
H01F27/06	. Mounting, supporting or suspending transformers, reactors or choke coils {not being of the signal type}	H01F	H01
H01F27/245	. . made from sheets, e.g. grain-oriented (H01F27/26 takes precedence)	H01F	H01
H02K5/24	. specially adapted for suppression or reduction of noise or vibrations	H02K	H02
H04W48/16	. Discovering, processing access restriction or access information	H04W	H04
H04W48/08	. Access restriction or access information delivery, e.g. discovery data delivery (signalling during connection H04W76/00)	H04W	H04
H04W16/24	. Cell structures	H04W	H04
H04W48/14	. . using user query {or user detection}	H04W	H04
H01L51/52	. . Details of devices	H01L	H01
H04W36/18	. . for allowing seamless reselection, e.g. soft reselection	H04W	H04
H04W88/18	. Service support devices; Network management devices	H04W	H04
H02S50/10	. Testing of PV devices, e.g. of PV modules or single PV cells (testing of semiconductor devices during manufacturing {H01L22/00})	H02S	H02
H01F27/22	. . Cooling by heat conduction through solid or powdered fillings	H01F	H01
H02S10/00	PV power plants; Combinations of PV energy systems with other systems for the generation of electric power	H02S	H02
H02S40/00	Components or accessories in combination with PV modules, not provided for in groups H02S10/00 - H02S30/00	H02S	H02
H04M1/22	. . Illumination; Arrangements for improving the visibility of characters on dials	H04M	H04
H04M2250/12	. including a sensor for measuring a physical value, e.g. temperature or motion (telephones including GPS signal receivers H04M2250/10)	H04M	H04
H04M2250/52	. including functional features of a camera (constructional features concerning the integration of cameras in portable phones H04M1/0264)	H04M	H04
H04M2201/34	. Microprocessors	H04M	H04
H04M2201/36	. Memories	H04M	H04
H04M2201/38	. Displays	H04M	H04
H04R17/00	Piezo-electric transducers; Electrostrictive transducers (piezo-electric or electrostrictive elements in general H01L41/00; details of piezo-electric or electrostrictive motors, generators or positioners {H01L41/00})	H04R	H04
H04R2499/15	. . Transducers incorporated in visual displaying devices, e.g. televisions, computer displays, laptops	H04R	H04
H01L2251/56	. . Processes specially adapted for the manufacture or treatment of OLED	H01L	H01
H01R13/629	. . Additional means for facilitating engagement or disengagement of coupling parts, e.g. aligning or guiding means, levers, gas pressure {electrical locking indicators, manufacturing tolerances (separate tools or apparatus H01R43/26)}	H01R	H01
H01R13/10	. . Sockets for co-operation with pins or blades	H01R	H01
H05H1/46	. . using applied electromagnetic fields, e.g. high frequency or microwave energy (H05H1/26 takes precedence)	H05H	H05
H05K5/03	. . Covers	H05K	H05
H04R3/00	Circuits for transducers {, loudspeakers or microphones}	H04R	H04
H01F27/24	. Magnetic cores	H01F	H01
H01F27/33	. Arrangements for noise damping	H01F	H01
H02J9/00	Circuit arrangements for emergency or stand-by power supply, e.g. for emergency lighting	H02J	H02
H02J2310/42	. . for ships or vessels	H02J	H02
H04R5/00	Stereophonic arrangements (stereophonic pick-ups H04R9/16, H04R11/12, H04R17/08, H04R19/10)	H04R	H04
H04S2420/11	. Application of ambisonics in stereophonic audio systems	H04S	H04
H04W60/04	. using triggered events	H04W	H04
H04W4/50	. Service provisioning or reconfiguring	H04W	H04
H05B47/105	. . in response to determined parameters	H05B	H05
H02J50/10	. using inductive coupling	H02J	H02
H01L23/31	. . characterised by the arrangement {or shape}	H01L	H01
H04W8/08	. . Mobility data transfer	H04W	H04
H04W76/27	. . Transitions between radio resource control [RRC] states	H04W	H04
H02N2/18	. producing electrical output from mechanical input, e.g. generators (for measurement devices G01)	H02N	H02
H02K5/10	. . with arrangements for protection from ingress, e.g. water or fingers	H02K	H02
H04L12/12	. . Arrangements for remote connection or disconnection of substations or of equipment thereof	H04L	H04
H04W4/80	. Services using short range communication, e.g. near-field communication [NFC], radio-frequency identification [RFID] or low energy communication	H04W	H04
H04W76/10	. Connection setup	H04W	H04
H04W16/32	. . Hierarchical cell structures	H04W	H04
H04W76/34	. . Selective release of ongoing connections	H04W	H04
H04W76/14	. . Direct-mode setup	H04W	H04
H04W88/02	. Terminal devices	H04W	H04
H03H11/28	. . Impedance matching networks	H03H	H03
H05B3/03	. . Electrodes	H05B	H05
H05B2203/017	. Manufacturing methods or apparatus for heaters	H05B	H05
H04W4/14	. . Short messaging services, e.g. short message services [SMS] or unstructured supplementary service data [USSD]	H04W	H04
H02J50/80	. involving the exchange of data, concerning supply or distribution of electric power, between transmitting devices and receiving devices	H02J	H02
H04N7/18	. Closed circuit television systems, i.e. systems in which the signal is not broadcast {(television transmission of measured quantities G01D 5/39; intruder alarm or detection by television surveillance G08B 13/196)}	H04N	H04
H04N5/225	. . Television cameras {; Cameras comprising an electronic image sensor, e.g. digital cameras, video cameras, camcorders, webcams, camera modules specially adapted for being embedded in other devices, e.g. mobile phones, computers or vehicles (constructional details of electronic still picture cameras or digital still picture cameras not peculiar to the presence or use of the electronic image sensor G03B)}	H04N	H04
H01L31/02	. Details	H01L	H01
H04B3/46	. . Monitoring; Testing	H04B	H04
H04B2203/5429	. . Applications for powerline communications	H04B	H04
H02M3/04	. . by static converters	H02M	H02
H02P9/48	. Arrangements for obtaining a constant output value at varying speed of the generator, e.g. on vehicle (H02P9/04 - H02P9/46 take precedence)	H02P	H02
H01R13/447	. . Shutter or cover plate	H01R	H01
H01F17/03	. . with ceramic former	H01F	H01
H04R1/08	. Mouthpieces; {Microphones;} Attachments therefor	H04R	H04
H04R2410/01	. Noise reduction using microphones having different directional characteristics	H04R	H04
H02J50/12	. . of the resonant type	H02J	H02
H01F38/14	. Inductive couplings {(for wireless supply or distribution of electric power using inductive coupling H02J50/10)}	H01F	H01
H02J7/00	Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries	H02J	H02
H01R27/02	. for simultaneous co-operation with two or more {dissimilar} counterparts	H01R	H01
H01L21/02	. Manufacture or treatment of semiconductor devices or of parts thereof	H01L	H01
H01L51/44	. . Details of devices	H01L	H01
H01L33/64	. . Heat extraction or cooling elements	H01L	H01
H01L33/62	. . Arrangements for conducting electric current to or from the semiconductor body, e.g. lead-frames, wire-bonds or solder balls	H01L	H01
H01L33/10	. . with a light reflecting structure, e.g. semiconductor Bragg reflector	H01L	H01
H02S10/40	. Mobile PV generator systems	H02S	H02
H02S30/00	Structural details of PV modules other than those related to light conversion (semiconductor device aspects of modules of electrolytic light sensitive devices H01G9/20, of inorganic PV modules H01L31/00, of organic PV modules H01L51/42)	H02S	H02
H01L2251/10	. Processes specially adapted for the manufacture or treatment of organic semiconductor devices	H01L	H01
H04L27/02	. Amplitude-modulated carrier systems, e.g. using on-off keying; Single sideband or vestigial sideband modulation (H04L27/32 takes precedence)	H04L	H04
H04L27/10	. Frequency-modulated carrier systems, i.e. using frequency-shift keying (H04L27/32 takes precedence)	H04L	H04
H04B7/10	. . Polarisation diversity; Directional diversity	H04B	H04
H04R5/02	. Spatial or constructional arrangements of loudspeakers	H04R	H04
H04S2420/13	. Application of wave-field synthesis in stereophonic audio systems	H04S	H04
H01H11/06	. . Fixing of contacts to carrier {; Fixing of contacts to insulating carrier}	H01H	H01
H01H2203/008	. Wires	H01H	H01
H01Q7/08	. . Ferrite rod or like elongated core	H01Q	H01
